Family,ID,Control Name,NIST Control Description
CONFIGURATION MANAGEMENT,CM-7 (5),Least Functionality | Authorized Software — Allow-by-exception," (a) Identify [Assignment: organization-defined software programs authorized to execute on the system];
 (b) Employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs on the system; and
 (c) Review and update the list of authorized software programs [Assignment: organization-defined frequency]."
CONFIGURATION MANAGEMENT,CM-8,System Component Inventory,"a. Develop and document an inventory of system components that:
 1. Accurately reflects the system;
 2. Includes all components within the system;
 3. Does not include duplicate accounting of components or components assigned to any other system;
 4. Is at the level of granularity deemed necessary for tracking and reporting; and
 5. Includes the following information to achieve system component accountability: [Assignment: organization-defined information deemed necessary to achieve effective system component accountability]; and
 b. Review and update the system component inventory [Assignment: organization-defined frequency]."
CONFIGURATION MANAGEMENT,CM-8 (1),System Component Inventory | Updates During Installation and Removal,"Update the inventory of system components as part of component installations, removals, and system updates."
CONFIGURATION MANAGEMENT,CM-8 (3),System Component Inventory | Automated Unauthorized Component Detection," (a) Detect the presence of unauthorized hardware, software, and firmware components within the system using [Assignment: organization-defined automated mechanisms] [Assignment: organization-defined frequency]; and
 (b) Take the following actions when unauthorized components are detected: [Selection (one or more): disable network access by such components; isolate the components; notify [Assignment: organization-defined personnel or roles]]."
CONFIGURATION MANAGEMENT,CM-9,Configuration Management Plan,"Develop, document, and implement a configuration management plan for the system that:
 a. Addresses roles, responsibilities, and configuration management processes and procedures;
 b. Establishes a process for identifying configuration items throughout the system development life cycle and for managing the configuration of the configuration items;
 c. Defines the configuration items for the system and places the configuration items under configuration management;
 d. Is reviewed and approved by [Assignment: organization-defined personnel or roles]; and
 e. Protects the configuration management plan from unauthorized disclosure and modification."
CONFIGURATION MANAGEMENT,CM-10,Software Usage Restrictions,"a. Use software and associated documentation in accordance with contract agreements and copyright laws;
 b. Track the use of software and associated documentation protected by quantity licenses to control copying and distribution; and
 c. Control and document the use of peer-to-peer file sharing technology to ensure that this capability is not used for the unauthorized distribution, display, performance, or reproduction of copyrighted work."
CONFIGURATION MANAGEMENT,CM-11,User-installed Software,"a. Establish [Assignment: organization-defined policies] governing the installation of software by users;
 b. Enforce software installation policies through the following methods: [Assignment: organization-defined methods]; and
 c. Monitor policy compliance [Assignment: organization-defined frequency]."
CONFIGURATION MANAGEMENT,CM-12,Information Location,"a. Identify and document the location of [Assignment: organization-defined information] and the specific system components on which the information is processed and stored;
 b. Identify and document the users who have access to the system and system components where the information is processed and stored; and
 c. Document changes to the location (i.e., system or system components) where the information is processed and stored."
CONFIGURATION MANAGEMENT,CM-12 (1),Information Location | Automated Tools to Support Information Location,Use automated tools to identify [Assignment: organization-defined information by information type] on [Assignment: organization-defined system components] to ensure controls are in place to protect organizational information and individual privacy.
CONTINGENCY PLANNING,CP-1,Policy and Procedures,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
 1. [Selection (one or more): Organization-level; Mission/business process-level; System-level] contingency planning policy that:
 (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
 (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
 2. Procedures to facilitate the implementation of the contingency planning policy and the associated contingency planning controls;
 b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the contingency planning policy and procedures; and
 c. Review and update the current contingency planning:
 1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
 2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]."
CONTINGENCY PLANNING,CP-2,Contingency Plan,"a. Develop a contingency plan for the system that:
 1. Identifies essential mission and business functions and associated contingency requirements;
 2. Provides recovery objectives, restoration priorities, and metrics;
 3. Addresses contingency roles, responsibilities, assigned individuals with contact information;
 4. Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure; 
 5. Addresses eventual, full system restoration without deterioration of the controls originally planned and implemented;
 6. Addresses the sharing of contingency information; and
 7. Is reviewed and approved by [Assignment: organization-defined personnel or roles];
 b. Distribute copies of the contingency plan to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
 c. Coordinate contingency planning activities with incident handling activities;
 d. Review the contingency plan for the system [Assignment: organization-defined frequency];
 e. Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing;
 f. Communicate contingency plan changes to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
 g. Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and
 h. Protect the contingency plan from unauthorized disclosure and modification."
CONTINGENCY PLANNING,CP-2 (1),Contingency Plan | Coordinate with Related Plans,Coordinate contingency plan development with organizational elements responsible for related plans.
CONTINGENCY PLANNING,CP-2 (3),Contingency Plan | Resume Mission and Business Functions,Plan for the resumption of [Selection: all; essential] mission and business functions within [Assignment: organization-defined time period] of contingency plan activation.
CONTINGENCY PLANNING,CP-2 (8),Contingency Plan | Identify Critical Assets,Identify critical system assets supporting [Selection: all; essential] mission and business functions.
CONTINGENCY PLANNING,CP-3,Contingency Training,"a. Provide contingency training to system users consistent with assigned roles and responsibilities: 
 1. Within [Assignment: organization-defined time period] of assuming a contingency role or responsibility;
 2. When required by system changes; and
 3. [Assignment: organization-defined frequency] thereafter; and
 b. Review and update contingency training content [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]."
CONTINGENCY PLANNING,CP-4,Contingency Plan Testing,"a. Test the contingency plan for the system [Assignment: organization-defined frequency] using the following tests to determine the effectiveness of the plan and the readiness to execute the plan: [Assignment: organization-defined tests].
 b. Review the contingency plan test results; and
 c. Initiate corrective actions, if needed."
CONTINGENCY PLANNING,CP-4 (1),Contingency Plan Testing | Coordinate with Related Plans,Coordinate contingency plan testing with organizational elements responsible for related plans.
CONTINGENCY PLANNING,CP-6,Alternate Storage Site,"a. Establish an alternate storage site, including necessary agreements to permit the storage and retrieval of system backup information; and
 b. Ensure that the alternate storage site provides controls equivalent to that of the primary site."
CONTINGENCY PLANNING,CP-6 (1),Alternate Storage Site | Separation from Primary Site,Identify an alternate storage site that is sufficiently separated from the primary storage site to reduce susceptibility to the same threats.
CONTINGENCY PLANNING,CP-6 (3),Alternate Storage Site | Accessibility,Identify potential accessibility problems to the alternate storage site in the event of an area-wide disruption or disaster and outline explicit mitigation actions.
CONTINGENCY PLANNING,CP-7,Alternate Processing Site,"a. Establish an alternate processing site, including necessary agreements to permit the transfer and resumption of [Assignment: organization-defined system operations] for essential mission and business functions within [Assignment: organization-defined time period consistent with recovery time and recovery point objectives] when the primary processing capabilities are unavailable;
 b. Make available at the alternate processing site, the equipment and supplies required to transfer and resume operations or put contracts in place to support delivery to the site within the organization-defined time period for transfer and resumption; and
 c. Provide controls at the alternate processing site that are equivalent to those at the primary site."
CONTINGENCY PLANNING,CP-7 (1),Alternate Processing Site | Separation from Primary Site,Identify an alternate processing site that is sufficiently separated from the primary processing site to reduce susceptibility to the same threats.
CONTINGENCY PLANNING,CP-7 (2),Alternate Processing Site | Accessibility,Identify potential accessibility problems to alternate processing sites in the event of an area-wide disruption or disaster and outlines explicit mitigation actions.
CONTINGENCY PLANNING,CP-7 (3),Alternate Processing Site | Priority of Service,Develop alternate processing site agreements that contain priority-of-service provisions in accordance with availability requirements (including recovery time objectives).
CONTINGENCY PLANNING,CP-8,Telecommunications Services,"Establish alternate telecommunications services, including necessary agreements to permit the resumption of [Assignment: organization-defined system operations] for essential mission and business functions within [Assignment: organization-defined time period] when the primary telecommunications capabilities are unavailable at either the primary or alternate processing or storage sites."
CONTINGENCY PLANNING,CP-8 (1),Telecommunications Services | Priority of Service Provisions," (a) Develop primary and alternate telecommunications service agreements that contain priority-of-service provisions in accordance with availability requirements (including recovery time objectives); and
 (b) Request Telecommunications Service Priority for all telecommunications services used for national security emergency preparedness if the primary and/or alternate telecommunications services are provided by a common carrier."
CONTINGENCY PLANNING,CP-8 (2),Telecommunications Services | Single Points of Failure,Obtain alternate telecommunications services to reduce the likelihood of sharing a single point of failure with primary telecommunications services.
CONTINGENCY PLANNING,CP-9,System Backup,"a. Conduct backups of user-level information contained in [Assignment: organization-defined system components] [Assignment: organization-defined frequency consistent with recovery time and recovery point objectives];
 b. Conduct backups of system-level information contained in the system [Assignment: organization-defined frequency consistent with recovery time and recovery point objectives];
 c. Conduct backups of system documentation, including security- and privacy-related documentation [Assignment: organization-defined frequency consistent with recovery time and recovery point objectives]; and 
 d. Protect the confidentiality, integrity, and availability of backup information."
CONTINGENCY PLANNING,CP-9 (1),System Backup | Testing for Reliability and Integrity,Test backup information [Assignment: organization-defined frequency] to verify media reliability and information integrity.
CONTINGENCY PLANNING,CP-9 (8),System Backup | Cryptographic Protection,Implement cryptographic mechanisms to prevent unauthorized disclosure and modification of [Assignment: organization-defined backup information].
CONTINGENCY PLANNING,CP-10,System Recovery and Reconstitution,"Provide for the recovery and reconstitution of the system to a known state within [Assignment: organization-defined time period consistent with recovery time and recovery point objectives] after a disruption, compromise, or failure."
CONTINGENCY PLANNING,CP-10 (2),System Recovery and Reconstitution | Transaction Recovery,Implement transaction recovery for systems that are transaction-based.
IDENTIFICATION AND AUTHENTICATION,IA-1,Policy and Procedures,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
 1. [Selection (one or more): Organization-level; Mission/business process-level; System-level] identification and authentication policy that:
 (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
 (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
 2. Procedures to facilitate the implementation of the identification and authentication policy and the associated identification and authentication controls;
 b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the identification and authentication policy and procedures; and
 c. Review and update the current identification and authentication:
 1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
 2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]."
IDENTIFICATION AND AUTHENTICATION,IA-2,Identification and Authentication (organizational Users),Uniquely identify and authenticate organizational users and associate that unique identification with processes acting on behalf of those users.
IDENTIFICATION AND AUTHENTICATION,IA-2 (1),Identification and Authentication (organizational Users) | Multi-factor Authentication to Privileged Accounts,Implement multi-factor authentication for access to privileged accounts.
IDENTIFICATION AND AUTHENTICATION,IA-2 (2),Identification and Authentication (organizational Users) | Multi-factor Authentication to Non-privileged Accounts,Implement multi-factor authentication for access to non-privileged accounts.
IDENTIFICATION AND AUTHENTICATION,IA-2 (5),Identification and Authentication (organizational Users) | Individual Authentication with Group Authentication,"When shared accounts or authenticators are employed, require users to be individually authenticated before granting access to the shared accounts or resources."
IDENTIFICATION AND AUTHENTICATION,IA-2 (6),Identification and Authentication (organizational Users) | Access to Accounts —separate Device,"Implement multi-factor authentication for [Selection (one or more): local; network; remote] access to [Selection (one or more): privileged accounts; non-privileged accounts] such that:
 (a) One of the factors is provided by a device separate from the system gaining access; and
 (b) The device meets [Assignment: organization-defined strength of mechanism requirements]."
IDENTIFICATION AND AUTHENTICATION,IA-2 (8),Identification and Authentication (organizational Users) | Access to Accounts — Replay Resistant,Implement replay-resistant authentication mechanisms for access to [Selection (one or more): privileged accounts; non-privileged accounts].
IDENTIFICATION AND AUTHENTICATION,IA-2 (12),Identification and Authentication (organizational Users) | Acceptance of PIV Credentials,Accept and electronically verify Personal Identity Verification-compliant credentials.
IDENTIFICATION AND AUTHENTICATION,IA-3,Device Identification and Authentication,Uniquely identify and authenticate [Assignment: organization-defined devices and/or types of devices] before establishing a [Selection (one or more): local; remote; network] connection.
IDENTIFICATION AND AUTHENTICATION,IA-4,Identifier Management,"Manage system identifiers by:
 a. Receiving authorization from [Assignment: organization-defined personnel or roles] to assign an individual, group, role, service, or device identifier;
 b. Selecting an identifier that identifies an individual, group, role, service, or device;
 c. Assigning the identifier to the intended individual, group, role, service, or device; and
 d. Preventing reuse of identifiers for [Assignment: organization-defined time period]."
IDENTIFICATION AND AUTHENTICATION,IA-4 (4),Identifier Management | Identify User Status,Manage individual identifiers by uniquely identifying each individual as [Assignment: organization-defined characteristic identifying individual status].
IDENTIFICATION AND AUTHENTICATION,IA-5,Authenticator Management,"Manage system authenticators by:
 a. Verifying, as part of the initial authenticator distribution, the identity of the individual, group, role, service, or device receiving the authenticator;
 b. Establishing initial authenticator content for any authenticators issued by the organization;
 c. Ensuring that authenticators have sufficient strength of mechanism for their intended use;
 d. Establishing and implementing administrative procedures for initial authenticator distribution, for lost or compromised or damaged authenticators, and for revoking authenticators;
 e. Changing default authenticators prior to first use;
 f. Changing or refreshing authenticators [Assignment: organization-defined time period by authenticator type] or when [Assignment: organization-defined events] occur;
 g. Protecting authenticator content from unauthorized disclosure and modification;
 h. Requiring individuals to take, and having devices implement, specific controls to protect authenticators; and
 i. Changing authenticators for group or role accounts when membership to those accounts changes."
IDENTIFICATION AND AUTHENTICATION,IA-5 (1),Authenticator Management | Password-based Authentication,"For password-based authentication:
 (a) Maintain a list of commonly-used, expected, or compromised passwords and update the list [Assignment: organization-defined frequency] and when organizational passwords are suspected to have been compromised directly or indirectly;
 (b) Verify, when users create or update passwords, that the passwords are not found on the list of commonly-used, expected, or compromised passwords in IA-5 (1) (a);
 (c) Transmit passwords only over cryptographically-protected channels;
 (d) Store passwords using an approved salted key derivation function, preferably using a keyed hash;
 (e) Require immediate selection of a new password upon account recovery;
 (f) Allow user selection of long passwords and passphrases, including spaces and all printable characters;
 (g) Employ automated tools to assist the user in selecting strong password authenticators; and
 (h) Enforce the following composition and complexity rules: [Assignment: organization-defined composition and complexity rules]."
IDENTIFICATION AND AUTHENTICATION,IA-5 (2),Authenticator Management | Public Key-based Authentication," (a) For public key-based authentication:
 (1) Enforce authorized access to the corresponding private key; and
 (2) Map the authenticated identity to the account of the individual or group; and
 (b) When public key infrastructure (PKI) is used:
 (1) Validate certificates by constructing and verifying a certification path to an accepted trust anchor, including checking certificate status information; and
 (2) Implement a local cache of revocation data to support path discovery and validation."
IDENTIFICATION AND AUTHENTICATION,IA-5 (6),Authenticator Management | Protection of Authenticators,Protect authenticators commensurate with the security category of the information to which use of the authenticator permits access.
IDENTIFICATION AND AUTHENTICATION,IA-5 (7),Authenticator Management | No Embedded Unencrypted Static Authenticators,Ensure that unencrypted static authenticators are not embedded in applications or other forms of static storage.
IDENTIFICATION AND AUTHENTICATION,IA-6,Authentication Feedback,Obscure feedback of authentication information during the authentication process to protect the information from possible exploitation and use by unauthorized individuals.
IDENTIFICATION AND AUTHENTICATION,IA-7,Cryptographic Module Authentication,"Implement mechanisms for authentication to a cryptographic module that meet the requirements of applicable laws, executive orders, directives, policies, regulations, standards, and guidelines for such authentication."
IDENTIFICATION AND AUTHENTICATION,IA-8,Identification and Authentication (non-organizational Users),Uniquely identify and authenticate non-organizational users or processes acting on behalf of non-organizational users.
IDENTIFICATION AND AUTHENTICATION,IA-8 (1),Identification and Authentication (non-organizational Users) | Acceptance of PIV Credentials from Other Agencies,Accept and electronically verify Personal Identity Verification-compliant credentials from other federal agencies.
IDENTIFICATION AND AUTHENTICATION,IA-8 (2),Identification and Authentication (non-organizational Users) | Acceptance of External Authenticators," (a) Accept only external authenticators that are NIST-compliant; and
 (b) Document and maintain a list of accepted external authenticators."
IDENTIFICATION AND AUTHENTICATION,IA-8 (4),Identification and Authentication (non-organizational Users) | Use of Defined Profiles,Conform to the following profiles for identity management [Assignment: organization-defined identity management profiles].
IDENTIFICATION AND AUTHENTICATION,IA-11,Re-authentication,Require users to re-authenticate when [Assignment: organization-defined circumstances or situations requiring re-authentication].
IDENTIFICATION AND AUTHENTICATION,IA-12,Identity Proofing,"a. Identity proof users that require accounts for logical access to systems based on appropriate identity assurance level requirements as specified in applicable standards and guidelines; 
 b. Resolve user identities to a unique individual; and
 c. Collect, validate, and verify identity evidence."
IDENTIFICATION AND AUTHENTICATION,IA-12 (2),Identity Proofing | Identity Evidence,Require evidence of individual identification be presented to the registration authority.
IDENTIFICATION AND AUTHENTICATION,IA-12 (3),Identity Proofing | Identity Evidence Validation and Verification,Require that the presented identity evidence be validated and verified through [Assignment: organizational defined methods of validation and verification].
IDENTIFICATION AND AUTHENTICATION,IA-12 (5),Identity Proofing | Address Confirmation,Require that a [Selection: registration code; notice of proofing] be delivered through an out-of-band channel to verify the users address (physical or digital) of record.
INCIDENT RESPONSE,IR-1,Policy and Procedures,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
 1. [Selection (one or more): Organization-level; Mission/business process-level; System-level] incident response policy that:
 (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
 (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
 2. Procedures to facilitate the implementation of the incident response policy and the associated incident response controls;
 b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the incident response policy and procedures; and
 c. Review and update the current incident response:
 1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
 2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]."
INCIDENT RESPONSE,IR-2,Incident Response Training,"a. Provide incident response training to system users consistent with assigned roles and responsibilities:
 1. Within [Assignment: organization-defined time period] of assuming an incident response role or responsibility or acquiring system access;
 2. When required by system changes; and
 3. [Assignment: organization-defined frequency] thereafter; and
 b. Review and update incident response training content [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]."
INCIDENT RESPONSE,IR-3,Incident Response Testing,Test the effectiveness of the incident response capability for the system [Assignment: organization-defined frequency] using the following tests: [Assignment: organization-defined tests].
INCIDENT RESPONSE,IR-3 (2),Incident Response Testing | Coordination with Related Plans,Coordinate incident response testing with organizational elements responsible for related plans.
INCIDENT RESPONSE,IR-4,Incident Handling,"a. Implement an incident handling capability for incidents that is consistent with the incident response plan and includes preparation, detection and analysis, containment, eradication, and recovery;
 b. Coordinate incident handling activities with contingency planning activities;
 c. Incorporate lessons learned from ongoing incident handling activities into incident response procedures, training, and testing, and implement the resulting changes accordingly; and
 d. Ensure the rigor, intensity, scope, and results of incident handling activities are comparable and predictable across the organization."
INCIDENT RESPONSE,IR-4 (1),Incident Handling | Automated Incident Handling Processes,Support the incident handling process using [Assignment: organization-defined automated mechanisms].
INCIDENT RESPONSE,IR-5,Incident Monitoring,Track and document incidents.
INCIDENT RESPONSE,IR-6,Incident Reporting,"a. Require personnel to report suspected incidents to the organizational incident response capability within [Assignment: organization-defined time period]; and
 b. Report incident information to [Assignment: organization-defined authorities]."
INCIDENT RESPONSE,IR-6 (1),Incident Reporting | Automated Reporting,Report incidents using [Assignment: organization-defined automated mechanisms].
INCIDENT RESPONSE,IR-6 (3),Incident Reporting | Supply Chain Coordination,Provide incident information to the provider of the product or service and other organizations involved in the supply chain or supply chain governance for systems or system components related to the incident.
INCIDENT RESPONSE,IR-7,Incident Response Assistance,"Provide an incident response support resource, integral to the organizational incident response capability, that offers advice and assistance to users of the system for the handling and reporting of incidents."
INCIDENT RESPONSE,IR-7 (1),Incident Response Assistance | Automation Support for Availability of Information and Support,Increase the availability of incident response information and support using [Assignment: organization-defined automated mechanisms].
INCIDENT RESPONSE,IR-8,Incident Response Plan,"a. Develop an incident response plan that:
 1. Provides the organization with a roadmap for implementing its incident response capability;
 2. Describes the structure and organization of the incident response capability;
 3. Provides a high-level approach for how the incident response capability fits into the overall organization;
 4. Meets the unique requirements of the organization, which relate to mission, size, structure, and functions;
 5. Defines reportable incidents;
 6. Provides metrics for measuring the incident response capability within the organization;
 7. Defines the resources and management support needed to effectively maintain and mature an incident response capability;
 8. Addresses the sharing of incident information;
 9. Is reviewed and approved by [Assignment: organization-defined personnel or roles] [Assignment: organization-defined frequency]; and
 10. Explicitly designates responsibility for incident response to [Assignment: organization-defined entities, personnel, or roles].
 b. Distribute copies of the incident response plan to [Assignment: organization-defined incident response personnel (identified by name and/or by role) and organizational elements];
 c. Update the incident response plan to address system and organizational changes or problems encountered during plan implementation, execution, or testing;
 d. Communicate incident response plan changes to [Assignment: organization-defined incident response personnel (identified by name and/or by role) and organizational elements]; and
 e. Protect the incident response plan from unauthorized disclosure and modification."
INCIDENT RESPONSE,IR-9,Information Spillage Response,"Respond to information spills by:
 a. Assigning [Assignment: organization-defined personnel or roles] with responsibility for responding to information spills;
 b. Identifying the specific information involved in the system contamination;
 c. Alerting [Assignment: organization-defined personnel or roles] of the information spill using a method of communication not associated with the spill;
 d. Isolating the contaminated system or system component;
 e. Eradicating the information from the contaminated system or component;
 f. Identifying other systems or system components that may have been subsequently contaminated; and
 g. Performing the following additional actions: [Assignment: organization-defined actions]."
INCIDENT RESPONSE,IR-9 (2),Information Spillage Response | Training,Provide information spillage response training [Assignment: organization-defined frequency].
INCIDENT RESPONSE,IR-9 (3),Information Spillage Response | Post-spill Operations,Implement the following procedures to ensure that organizational personnel impacted by information spills can continue to carry out assigned tasks while contaminated systems are undergoing corrective actions: [Assignment: organization-defined procedures].
INCIDENT RESPONSE,IR-9 (4),Information Spillage Response | Exposure to Unauthorized Personnel,Employ the following controls for personnel exposed to information not within assigned access authorizations: [Assignment: organization-defined controls].
MAINTENANCE,MA-1,Policy and Procedures,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
 1. [Selection (one or more): Organization-level; Mission/business process-level; System-level] maintenance policy that:
 (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
 (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
 2. Procedures to facilitate the implementation of the maintenance policy and the associated maintenance controls;
 b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the maintenance policy and procedures; and
 c. Review and update the current maintenance:
 1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
 2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]."
MAINTENANCE,MA-2,Controlled Maintenance,"a. Schedule, document, and review records of maintenance, repair, and replacement on system components in accordance with manufacturer or vendor specifications and/or organizational requirements;
 b. Approve and monitor all maintenance activities, whether performed on site or remotely and whether the system or system components are serviced on site or removed to another location;
 c. Require that [Assignment: organization-defined personnel or roles] explicitly approve the removal of the system or system components from organizational facilities for off-site maintenance, repair, or replacement;
 d. Sanitize equipment to remove the following information from associated media prior to removal from organizational facilities for off-site maintenance, repair, or replacement: [Assignment: organization-defined information];
 e. Check all potentially impacted controls to verify that the controls are still functioning properly following maintenance, repair, or replacement actions; and
 f. Include the following information in organizational maintenance records: [Assignment: organization-defined information]."
MAINTENANCE,MA-3,Maintenance Tools,"a. Approve, control, and monitor the use of system maintenance tools; and
 b. Review previously approved system maintenance tools [Assignment: organization-defined frequency]."
MAINTENANCE,MA-3 (1),Maintenance Tools | Inspect Tools,Inspect the maintenance tools used by maintenance personnel for improper or unauthorized modifications.
MAINTENANCE,MA-3 (2),Maintenance Tools | Inspect Media,Check media containing diagnostic and test programs for malicious code before the media are used in the system.
MAINTENANCE,MA-3 (3),Maintenance Tools | Prevent Unauthorized Removal,"Prevent the removal of maintenance equipment containing organizational information by:
 (a) Verifying that there is no organizational information contained on the equipment;
 (b) Sanitizing or destroying the equipment;
 (c) Retaining the equipment within the facility; or
 (d) Obtaining an exemption from [Assignment: organization-defined personnel or roles] explicitly authorizing removal of the equipment from the facility."
MAINTENANCE,MA-4,Nonlocal Maintenance,"a. Approve and monitor nonlocal maintenance and diagnostic activities;
 b. Allow the use of nonlocal maintenance and diagnostic tools only as consistent with organizational policy and documented in the security plan for the system;
 c. Employ strong authentication in the establishment of nonlocal maintenance and diagnostic sessions;
 d. Maintain records for nonlocal maintenance and diagnostic activities; and
 e. Terminate session and network connections when nonlocal maintenance is completed."
MAINTENANCE,MA-5,Maintenance Personnel,"a. Establish a process for maintenance personnel authorization and maintain a list of authorized maintenance organizations or personnel;
 b. Verify that non-escorted personnel performing maintenance on the system possess the required access authorizations; and
 c. Designate organizational personnel with required access authorizations and technical competence to supervise the maintenance activities of personnel who do not possess the required access authorizations."
MAINTENANCE,MA-5 (1),Maintenance Personnel | Individuals Without Appropriate Access,"The organization:
 (a)   Implements procedures for the use of maintenance personnel that lack appropriate security clearances or are not U.S. citizens, that include the following requirements:
    (1)   Maintenance personnel who do not have needed access authorizations, clearances, or formal access approvals are escorted and supervised during the performance of maintenance and diagnostic activities on the information system by approved organizational personnel who are fully cleared, have appropriate access authorizations, and are technically qualified;
   (2)   Prior to initiating maintenance or diagnostic activities by personnel who do not have needed access authorizations, clearances or formal access approvals, all volatile information storage components within the information system are sanitized and all nonvolatile storage media are removed or physically disconnected from the system and secured; and
 (b)   Develops and implements alternate security safeguards in the event an information system component cannot be sanitized, removed, or disconnected from the system.

Supplemental Guidance:  This control enhancement denies individuals who lack appropriate security clearances (i.e., individuals who do not possess security clearances or possess security clearances at a lower level than required) or who are not U.S. citizens, visual and
electronic access to any classified information, Controlled Unclassified Information (CUI), or any other sensitive information contained on organizational information systems. Procedures for the use of maintenance personnel can be documented in security plans for the information systems. Related controls: MP-6, PL-2.
"
MAINTENANCE,MA-6,Timely Maintenance,Obtain maintenance support and/or spare parts for [Assignment: organization-defined system components] within [Assignment: organization-defined time period] of failure.
MEDIA PROTECTION,MP-1,Policy and Procedures,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
 1. [Selection (one or more): Organization-level; Mission/business process-level; System-level] media protection policy that:
 (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
 (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
 2. Procedures to facilitate the implementation of the media protection policy and the associated media protection controls;
 b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the media protection policy and procedures; and
 c. Review and update the current media protection:
 1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
 2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]."
MEDIA PROTECTION,MP-2,Media Access,Restrict access to [Assignment: organization-defined types of digital and/or non-digital media] to [Assignment: organization-defined personnel or roles].
MEDIA PROTECTION,MP-3,Media Marking,"a. Mark system media indicating the distribution limitations, handling caveats, and applicable security markings (if any) of the information; and
 b. Exempt [Assignment: organization-defined types of system media] from marking if the media remain within [Assignment: organization-defined controlled areas]."
MEDIA PROTECTION,MP-4,Media Storage,"a. Physically control and securely store [Assignment: organization-defined types of digital and/or non-digital media] within [Assignment: organization-defined controlled areas]; and
 b. Protect system media types defined in MP-4a until the media are destroyed or sanitized using approved equipment, techniques, and procedures."
MEDIA PROTECTION,MP-5,Media Transport,"a. Protect and control [Assignment: organization-defined types of system media] during transport outside of controlled areas using [Assignment: organization-defined controls];
 b. Maintain accountability for system media during transport outside of controlled areas;
 c. Document activities associated with the transport of system media; and
 d. Restrict the activities associated with the transport of system media to authorized personnel."
MEDIA PROTECTION,MP-6,Media Sanitization,"a. Sanitize [Assignment: organization-defined system media] prior to disposal, release out of organizational control, or release for reuse using [Assignment: organization-defined sanitization techniques and procedures]; and
 b. Employ sanitization mechanisms with the strength and integrity commensurate with the security category or classification of the information."
MEDIA PROTECTION,MP-7,Media Use,"a. [Selection: Restrict; Prohibit] the use of [Assignment: organization-defined types of system media] on [Assignment: organization-defined systems or system components] using [Assignment: organization-defined controls]; and
 b. Prohibit the use of portable storage devices in organizational systems when such devices have no identifiable owner."
